<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20201123,110900,243.1700000,243.5000000,243.0900000,243.4500000,314830
SBER,1,20201123,111000,243.5000000,243.5600000,243.2500000,243.4200000,241790
SBER,1,20201123,111100,243.4200000,243.4900000,243.3500000,243.4400000,84070
SBER,1,20201123,111200,243.3800000,243.4400000,243.1400000,243.2100000,175330
SBER,1,20201123,111300,243.2100000,243.2400000,243.1000000,243.1900000,33870
SBER,1,20201123,111400,243.1900000,243.2900000,243.1000000,243.1800000,35950
SBER,1,20201123,111500,243.1700000,243.1800000,243.1000000,243.1200000,20640
SBER,1,20201123,111600,243.1300000,243.2300000,243.1100000,243.2300000,70680
SBER,1,20201123,111700,243.2300000,243.2300000,242.8600000,242.9800000,136090
SBER,1,20201123,111800,242.9500000,243.0000000,242.9100000,242.9900000,34420
SBER,1,20201123,111900,242.9900000,243.0900000,242.9900000,243.0000000,26990
SBER,1,20201123,112000,243.0400000,243.0400000,242.8000000,242.9000000,48410
SBER,1,20201123,112100,242.8700000,243.0500000,242.7700000,242.9200000,203340
SBER,1,20201123,112200,242.9700000,243.0000000,242.8200000,242.9600000,48040
SBER,1,20201123,112300,242.9600000,243.1900000,242.9300000,243.0000000,184120
SBER,1,20201123,112400,243.0000000,243.0200000,242.8300000,242.8700000,76750
SBER,1,20201123,112500,242.8700000,242.9100000,242.8200000,242.9100000,57720
SBER,1,20201123,112600,242.9200000,243.0000000,242.8900000,242.9400000,71490
SBER,1,20201123,112700,242.9300000,242.9600000,242.8500000,242.9100000,71570
SBER,1,20201123,112800,242.9100000,243.0000000,242.8500000,242.9500000,112080
SBER,1,20201123,112900,242.8900000,243.0000000,242.8900000,243.0000000,30520
SBER,1,20201123,113000,243.0000000,243.0800000,242.8500000,242.9000000,116660
SBER,1,20201123,113100,242.9100000,243.1000000,242.9100000,243.0300000,78000
SBER,1,20201123,113200,243.0300000,243.1800000,242.9200000,242.9800000,108250
SBER,1,20201123,113300,242.9500000,242.9500000,242.7900000,242.9500000,80530
SBER,1,20201123,113400,242.9400000,243.0900000,242.8900000,242.9800000,69910
SBER,1,20201123,113500,242.9800000,243.0500000,242.8700000,243.0000000,50090
SBER,1,20201123,113600,243.0100000,243.0600000,242.7300000,242.7700000,134520
SBER,1,20201123,113700,242.7600000,242.7600000,242.6000000,242.6400000,106740
SBER,1,20201123,113800,242.6700000,242.7400000,242.6100000,242.7200000,27970
SBER,1,20201123,113900,242.7200000,242.7400000,242.4500000,242.4900000,148290
SBER,1,20201123,114000,242.4900000,242.6000000,242.4600000,242.5500000,76780
SBER,1,20201123,114100,242.5300000,242.5300000,242.3100000,242.3800000,302060
SBER,1,20201123,114200,242.4100000,242.6100000,242.4100000,242.5500000,50050
SBER,1,20201123,114300,242.5700000,242.6900000,242.4800000,242.4900000,67100
SBER,1,20201123,114400,242.5100000,242.5500000,242.4600000,242.5100000,64690
SBER,1,20201123,114500,242.4900000,242.5100000,242.3100000,242.3100000,55600
SBER,1,20201123,114600,242.3300000,242.5800000,242.3000000,242.5200000,92310
SBER,1,20201123,114700,242.5200000,242.7500000,242.4600000,242.7300000,73650
SBER,1,20201123,114800,242.7100000,242.7900000,242.7000000,242.7100000,40050
SBER,1,20201123,114900,242.7400000,242.7500000,242.6600000,242.6600000,29070
SBER,1,20201123,115000,242.6900000,242.7300000,242.5500000,242.6200000,34410
SBER,1,20201123,115100,242.5600000,242.7300000,242.5600000,242.7100000,23010
SBER,1,20201123,115200,242.7400000,242.7400000,242.6300000,242.6700000,36100
SBER,1,20201123,115300,242.6900000,242.7600000,242.6700000,242.7300000,41930
SBER,1,20201123,115400,242.7200000,242.7500000,242.6500000,242.7100000,40090
SBER,1,20201123,115500,242.6700000,242.7900000,242.6700000,242.7800000,61820
SBER,1,20201123,115600,242.7600000,242.8800000,242.7500000,242.7500000,92240
SBER,1,20201123,115700,242.7400000,242.7800000,242.5900000,242.6300000,32920
SBER,1,20201123,115800,242.6300000,242.6500000,242.5400000,242.6100000,18820
SBER,1,20201123,115900,242.6100000,242.6400000,242.5400000,242.5600000,25090
SBER,1,20201123,120000,242.6000000,242.6600000,242.5500000,242.6000000,45170
SBER,1,20201123,120100,242.6000000,242.6700000,242.5600000,242.6500000,18210
SBER,1,20201123,120200,242.6500000,242.6500000,242.3700000,242.4100000,51310
SBER,1,20201123,120300,242.4000000,242.4200000,242.3000000,242.3700000,81100
SBER,1,20201123,120400,242.3800000,242.5200000,242.3300000,242.4900000,39980
SBER,1,20201123,120500,242.4900000,242.6000000,242.4900000,242.6000000,33890
SBER,1,20201123,120600,242.5600000,242.6000000,242.5000000,242.5700000,35260
SBER,1,20201123,120700,242.5500000,242.5900000,242.3000000,242.3000000,157750
SBER,1,20201123,120800,242.3400000,242.3800000,242.3100000,242.3500000,28090
SBER,1,20201123,120900,242.3300000,242.3500000,241.8600000,242.0600000,895070
SBER,1,20201123,121000,242.0800000,242.1700000,242.0000000,242.1100000,71950
SBER,1,20201123,121100,242.1200000,242.2300000,242.0100000,242.2300000,74680
SBER,1,20201123,121200,242.2300000,242.4600000,242.2300000,242.3500000,78100
SBER,1,20201123,121300,242.3500000,242.4000000,242.3200000,242.3700000,48740
SBER,1,20201123,121400,242.3300000,242.4000000,242.3200000,242.3400000,22530
