<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20201201,112400,253.8600000,253.9900000,253.7000000,253.7000000,131580
SBER,1,20201201,112500,253.7500000,254.4400000,253.7100000,254.3600000,668850
SBER,1,20201201,112600,254.3600000,254.7500000,254.1600000,254.4200000,864160
SBER,1,20201201,112700,254.4400000,254.5000000,254.3000000,254.3500000,234600
SBER,1,20201201,112800,254.3500000,254.4500000,254.1400000,254.1700000,470570
SBER,1,20201201,112900,254.1700000,254.5300000,254.1600000,254.3500000,219780
SBER,1,20201201,113000,254.3100000,254.4100000,254.1600000,254.2400000,75130
SBER,1,20201201,113100,254.2200000,254.8700000,254.2200000,254.8700000,671980
SBER,1,20201201,113200,254.8600000,255.1400000,254.6300000,255.0100000,1919760
SBER,1,20201201,113300,255.0000000,255.4500000,254.8300000,254.9000000,943730
SBER,1,20201201,113400,254.9000000,254.9700000,254.7000000,254.7000000,176610
SBER,1,20201201,113500,254.7800000,254.8500000,254.2900000,254.4500000,245920
SBER,1,20201201,113600,254.4500000,254.6500000,254.4400000,254.4600000,78820
SBER,1,20201201,113700,254.4600000,254.5000000,254.1400000,254.1600000,168710
SBER,1,20201201,113800,254.1600000,254.2500000,253.7600000,253.8700000,753030
SBER,1,20201201,113900,253.8800000,254.5000000,253.8600000,253.9000000,417700
SBER,1,20201201,114000,253.9000000,254.1000000,253.8500000,253.8700000,151760
SBER,1,20201201,114100,253.8800000,253.8800000,253.5400000,253.6800000,179440
SBER,1,20201201,114200,253.6800000,254.0400000,253.5700000,253.7700000,227400
SBER,1,20201201,114300,253.7700000,253.8100000,253.6500000,253.7000000,98220
SBER,1,20201201,114400,253.7000000,253.9600000,253.6600000,253.8800000,62410
SBER,1,20201201,114500,253.8800000,254.0400000,253.8700000,253.9200000,217780
SBER,1,20201201,114600,253.9100000,254.2400000,253.9000000,254.1100000,162210
SBER,1,20201201,114700,254.1200000,254.2000000,253.9000000,254.0600000,94580
SBER,1,20201201,114800,254.0400000,254.1200000,253.9400000,253.9700000,109240
SBER,1,20201201,114900,253.9900000,254.0500000,253.9200000,253.9700000,62850
SBER,1,20201201,115000,253.9800000,253.9800000,253.8100000,253.8700000,138130
SBER,1,20201201,115100,253.9000000,254.2000000,253.8700000,254.1200000,397290
SBER,1,20201201,115200,254.1300000,254.1400000,253.8100000,253.8100000,136080
SBER,1,20201201,115300,253.8100000,253.9800000,253.7900000,253.8800000,75780
SBER,1,20201201,115400,253.9000000,253.9700000,253.6700000,253.7200000,61300
SBER,1,20201201,115500,253.7200000,253.8700000,253.5600000,253.5800000,134200
